start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed,backfill_count,backfill_years
1975,P09_STR_sc1.0,1,,20297808,15704977,0,,5,4;13;16;17;20
1976,P09_STR_sc1.0,1,,41707381,51910455,0,,0,
1977,P09_STR_sc1.0,1,,37833997,21956570,0,,2,5;6
1978,P09_STR_sc1.0,1,,100078751,239192439,0,,0,
1979,P09_STR_sc1.0,1,,21688539,23727757,1,12,4,13;14;16;17
1980,P09_STR_sc1.0,1,,22880031,34586729,1,11,4,12;13;16;19
1981,P09_STR_sc1.0,1,,18174826,37790287,0,,3,11;14;15
1982,P09_STR_sc1.0,1,,73852877,370011441,0,,0,
1983,P09_STR_sc1.0,1,,25832088,25785600,0,,3,10;13;16
1984,P09_STR_sc1.0,1,,16139691,31453323,1,18,6,7;8;11;12;19;20
1985,P09_STR_sc1.0,1,,23122037,30070867,0,,1,19
1986,P09_STR_sc1.0,1,,26260953,18163827,0,,4,6;9;10;17
1987,P09_STR_sc1.0,1,,25513689,29245323,0,,4,5;8;9;17
1988,P09_STR_sc1.0,1,,21419520,27746660,0,,6,3;4;7;8;15;16
1989,P09_STR_sc1.0,1,,26469042,22063445,1,6,4,5;7;10;15
1990,P09_STR_sc1.0,1,,35348526,19928757,1,5,4,3;6;9;14
1991,P09_STR_sc1.0,1,,31640846,25935952,0,,1,18
1992,P09_STR_sc1.0,1,,26243169,21514454,0,,2,7;17
1993,P09_STR_sc1.0,1,,38607475,182738092,0,,1,3
1994,P09_STR_sc1.0,1,,28364439,20006419,0,,2,13;17
1995,P09_STR_sc1.0,1,,105691724,558663380,0,,0,
1996,P09_STR_sc1.0,1,,35696595,65539173,0,,0,
1997,P09_STR_sc1.0,1,,57701118,127514089,0,,0,
1998,P09_STR_sc1.0,1,,69287860,190510387,0,,0,
1999,P09_STR_sc1.0,1,,25300994,18288576,1,17,4,17;18;19;20
2000,P09_STR_sc1.0,1,,24982557,27436239,1,16,7,3;4;16;17;18;19;20
2001,P09_STR_sc1.0,1,,30034444,27550991,0,,6,6;10;15;16;17;19
2002,P09_STR_sc1.0,1,,45012929,30447487,0,,0,
2003,P09_STR_sc1.0,1,,79764249,139676601,0,,0,
2004,P09_STR_sc1.0,1,,16571805,23429532,1,12,7,3;11;12;13;14;16;20
2005,P09_STR_sc1.0,1,,19408130,23713844,0,,5,10;11;12;13;15
1975,P09_STR_sc1.4,1,,42005749,155082978,0,,1,8
1976,P09_STR_sc1.4,1,,159121430,1048556601,0,,0,
1977,P09_STR_sc1.4,1,,124039627,753202232,0,,1,2
1978,P09_STR_sc1.4,1,,332245213,1789366055,0,,0,
1979,P09_STR_sc1.4,1,,82602559,657522361,0,,0,
1980,P09_STR_sc1.4,1,,120921260,1663651869,0,,0,
1981,P09_STR_sc1.4,1,,74345912,1105837214,0,,0,
1982,P09_STR_sc1.4,1,,199182052,2658542172,0,,0,
1983,P09_STR_sc1.4,1,,85978893,727291045,0,,0,
1984,P09_STR_sc1.4,1,,22213514,124112144,0,,1,12
1985,P09_STR_sc1.4,1,,64703630,1278161534,0,,0,
1986,P09_STR_sc1.4,1,,35546665,212316075,0,,2,9;10
1987,P09_STR_sc1.4,1,,32286341,236452463,0,,2,8;9
1988,P09_STR_sc1.4,1,,38924148,351346289,0,,4,3;4;7;8
1989,P09_STR_sc1.4,1,,58658039,443527257,0,,2,6;7
1990,P09_STR_sc1.4,1,,59588015,193136773,0,,1,2
1991,P09_STR_sc1.4,1,,150996274,1919915245,0,,0,
1992,P09_STR_sc1.4,1,,75838998,894188832,0,,0,
1993,P09_STR_sc1.4,1,,103514450,1744745149,0,,1,3
1994,P09_STR_sc1.4,1,,164299699,1342799679,0,,0,
1995,P09_STR_sc1.4,1,,343344786,3482149085,0,,0,
1996,P09_STR_sc1.4,1,,129471445,896092319,0,,0,
1997,P09_STR_sc1.4,1,,192597065,927721977,0,,0,
1998,P09_STR_sc1.4,1,,195657474,1120225307,0,,0,
1999,P09_STR_sc1.4,1,,92175667,369944151,0,,0,
2000,P09_STR_sc1.4,1,,50288841,134514992,0,,2,3;4
2001,P09_STR_sc1.4,1,,37451798,48690914,0,,2,17;19
2002,P09_STR_sc1.4,1,,124409734,734494551,0,,0,
2003,P09_STR_sc1.4,1,,218214736,1023654921,0,,0,
2004,P09_STR_sc1.4,1,,40702215,37126525,0,,2,3;14
2005,P09_STR_sc1.4,1,,46239209,66252025,0,,0,
1975,P09_STR_sc1.6,1,,53192559,299276846,0,,0,
1976,P09_STR_sc1.6,1,,262043721,2277530679,0,,0,
1977,P09_STR_sc1.6,1,,184691743,1533011378,0,,1,2
1978,P09_STR_sc1.6,1,,546113594,3704835326,0,,0,
1979,P09_STR_sc1.6,1,,130063051,1643591892,0,,0,
1980,P09_STR_sc1.6,1,,205693479,4571920481,0,,0,
1981,P09_STR_sc1.6,1,,116530470,2849018877,0,,0,
1982,P09_STR_sc1.6,1,,297023224,5578700972,0,,0,
1983,P09_STR_sc1.6,1,,139235220,1796294469,0,,0,
1984,P09_STR_sc1.6,1,,40765038,698860208,0,,0,
1985,P09_STR_sc1.6,1,,91441224,2910930819,0,,0,
1986,P09_STR_sc1.6,1,,30784731,215027451,0,,0,
1987,P09_STR_sc1.6,1,,37614266,493867063,0,,1,9
1988,P09_STR_sc1.6,1,,45247980,627585531,0,,3,2;4;8
1989,P09_STR_sc1.6,1,,54773181,504558484,0,,1,7
1990,P09_STR_sc1.6,1,,112426719,731104670,0,,1,2
1991,P09_STR_sc1.6,1,,254841700,4438288035,0,,0,
1992,P09_STR_sc1.6,1,,128518380,2213297864,0,,0,
1993,P09_STR_sc1.6,1,,149632127,3494200384,0,,1,3
1994,P09_STR_sc1.6,1,,287878386,3074957480,0,,0,
1995,P09_STR_sc1.6,1,,549138605,6913035942,0,,0,
1996,P09_STR_sc1.6,1,,199703292,1746697542,0,,0,
1997,P09_STR_sc1.6,1,,298250230,1680063879,0,,0,
1998,P09_STR_sc1.6,1,,285905301,1997167195,0,,0,
1999,P09_STR_sc1.6,1,,135987359,712223068,0,,0,
2000,P09_STR_sc1.6,1,,64590740,251577798,0,,2,3;4
2001,P09_STR_sc1.6,1,,67286157,248540620,0,,0,
2002,P09_STR_sc1.6,1,,177141078,1438206091,0,,0,
2003,P09_STR_sc1.6,1,,316675321,1877054003,0,,0,
2004,P09_STR_sc1.6,1,,53965409,101561876,0,,1,3
